"noMtDNA_Puddu";"Pet_Stenger"
"ABF2";"ABF2"
"AEP2";"ADD37"
"AEP3";"AEP1"
"AFG3";"AEP3"
"AIM22";"AFT1"
"ATP10";"AIM10"
"ATP15";"AIM22"
"ATP25";"ANP1"
"ATP5";"ATP1"
"ATP7";"ATP10"
"CBS1";"ATP11"
"CCM1";"ATP12"
"CEM1";"ATP15"
"DIA4";"ATP17"
"DOC1";"ATP22"
"DSS1";"ATP23"
"EUG1";"ATP25"
"EXO5";"ATP4"
"FAB1";"ATP5"
"FZO1";"ATP7"
"GGC1";"AVL9"
"GIN4";"BCS1"
"GLO3";"BOL2"
"GTF1";"BUB3"
"HER2";"CAT5"
"HMI1";"CBF1"
"HSP31";"CBP1"
"IFM1";"CBP2"
"IMG1";"CBP4"
"IMG2";"CBP6"
"IRC19";"CBS1"
"IRC3";"CBT1"
"ISM1";"CCM1"
"MAC1";"CEM1"
"MBP1";"CHO2"
"MDJ1";"CMC1"
"MDM10";"CNM67"
"MDM12";"COQ1"
"MDM38";"COQ10"
"MEF2";"COQ2"
"MET7";"COQ3"
"MGM1";"COQ5"
"MGM101";"COQ6"
"MHR1";"COQ8"
"MIP1";"COQ9"
"MMM1";"COR1"
"MRF1";"COX10"
"MRH4";"COX12"
"MRM1";"COX18"
"MRP1";"COX19"
"MRP10";"COX20"
"MRP2";"COX23"
"MRP20";"COX5A"
"MRP21";"COX6"
"MRP49";"COX7"
"MRP51";"COX9"
"MRP7";"CTR1"
"MRPL10";"CYC2"
"MRPL11";"CYS3"
"MRPL13";"CYT1"
"MRPL16";"CYT2"
"MRPL17";"DAN1"
"MRPL20";"DEF1"
"MRPL22";"DIA4"
"MRPL23";"DID4"
"MRPL24";"DOC1"
"MRPL25";"EMI1"
"MRPL27";"ETR1"
"MRPL28";"EUG1"
"MRPL32";"FBP1"
"MRPL33";"FUM1"
"MRPL35";"FYV6"
"MRPL37";"FZO1"
"MRPL38";"GCV3"
"MRPL4";"GEM1"
"MRPL40";"GEP3"
"MRPL49";"GGC1"
"MRPL51";"GIN4"
"MRPL6";"GLO3"
"MRPL7";"GON7"
"MRPL8";"GRR1"
"MRPL9";"GRX5"
"MRPS12";"GUP1"
"MRPS16";"GVP36"
"MRPS17";"HAP4"
"MRPS28";"HAP5"
"MRPS35";"HEM14"
"MRPS8";"HER2"
"MSD1";"HFA1"
"MSE1";"HPR1"
"MSF1";"HTB2"
"MSH1";"HTD2"
"MSM1";"IBA57"
"MSS116";"IFM1"
"MSW1";"IMG1"
"MSY1";"IMG2"
"MTF1";"IMP1"
"MTF2";"IMP2"
"MTG2";"ISA1"
"MTM1";"ISA2"
"NAM2";"KAP123"
"OCT1";"KGD2"
"PAF1";"LDB17"
"PCP1";"LIP2"
"PET100";"LPD1"
"PET112";"MAC1"
"PET123";"MDJ1"
"PET130";"MDM30"
"PET309";"MEC3"
"PIF1";"MET7"
"PPA2";"MGM1"
"RIM1";"MGM101"
"RMD9";"MIP1"
"RML2";"MMM1"
"RPL1B";"MNE1"
"RRF1";"MRF1"
"RRG7";"MRM1"
"RRG8";"MRP1"
"RSM18";"MRP17"
"RSM19";"MRP20"
"RSM22";"MRP21"
"RSM23";"MRP4"
"RSM24";"MRP51"
"RSM25";"MRP7"
"RSM27";"MRPL1"
"RSM7";"MRPL10"
"RTC6";"MRPL11"
"SLA1";"MRPL13"
"SLM5";"MRPL15"
"SLS1";"MRPL16"
"SOD2";"MRPL22"
"SOV1";"MRPL23"
"SUV3";"MRPL27"
"VID22";"MRPL32"
"YDL032W";"MRPL33"
"YER077C";"MRPL35"
"YGL218W";"MRPL36"
"YGR219W";"MRPL37"
"YJL022W";"MRPL38"
"YKL169C";"MRPL40"
"YLR149C";"MRPL49"
"YNL184C";"MRPL51"
"YOR199W";"MRPL6"
"YOR200W";"MRPL9"
"YPR099C";"MRPS12"
"YTA12";"MRPS16"
;"MRPS35"
;"MRPS5"
;"MSE1"
;"MSF1"
;"MSH1"
;"MSK1"
;"MSR1"
;"MSS2"
;"MSS51"
;"MST1"
;"MSW1"
;"MSY1"
;"MTF1"
;"MTM1"
;"MZM1"
;"NAT1"
;"NFU1"
;"NRP1"
;"OCT1"
;"OXA1"
;"PCP1"
;"PET100"
;"PET111"
;"PET112"
;"PET117"
;"PET122"
;"PET123"
;"PET130"
;"PET20"
;"PET309"
;"PET494"
;"PET54"
;"PIM1"
;"PKH2"
;"PPA2"
;"PRO1"
;"QCR7"
;"QCR8"
;"QCR9"
;"QRI5"
;"RIM1"
;"RIM9"
;"RIP1"
;"RMD8"
;"RMD9"
;"RML2"
;"RNR4"
;"RPH1"
;"RPL41B"
;"RPL42A"
;"RPO41"
;"RRG1"
;"RRG7"
;"RRG8"
;"RRG9"
;"RSM18"
;"RSM19"
;"RSM22"
;"RSM23"
;"RSM24"
;"RSM27"
;"RSM7"
;"SAC1"
;"SAG1"
;"SCO1"
;"SDH1"
;"SDH2"
;"SDH4"
;"SDH5"
;"SHU2"
;"SHY1"
;"SLM5"
;"SLS1"
;"SNF1"
;"SNF2"
;"SNF4"
;"SOM1"
;"SOV1"
;"SPS1"
;"SSA4"
;"SSQ1"
;"SUV3"
;"SWI3"
;"SWS2"
;"SYO1"
;"TFB5"
;"TPD3"
;"TUF1"
;"TVP18"
;"UAF30"
;"UBA3"
;"UBX4"
;"UFO1"
;"UGO1"
;"VMA1"
;"VMA16"
;"VMA21"
;"VMA5"
;"VMA6"
;"VMA9"
;"VPS33"
;"VPS34"
;"VPS45"
;"YBL044W"
;"YCL007C"
;"YCP4"
;"YDL032W"
;"YDL206W"
;"YDR042C"
;"YDR114C"
;"YDR230W"
;"YDR521W"
;"YET3"
;"YGP1"
;"YGR219W"
;"YHR050W-A"
;"YHR175W-A"
;"YIL012W"
;"YIP4"
;"YJL027C"
;"YJR114W"
;"YJR120W"
;"YKE2"
;"YKL169C"
;"YLR202C"
;"YMR084W"
;"YNL170W"
;"YNL184C"
;"YOR199W"
;"YOR199W"
;"YOR199W"
;"YTA12"
